modelo,tipo_ruido,parametro,nivel,imagen,detecciones_base,detecciones,confianza_promedio,confianza_maxima,iou_promedio,retencion_pct
YOLO26-XL,Gaussiano,sigma,100,bus.jpg,5,5,0.5639,0.9292,0.8974,100.0
YOLO26-XL,Gaussiano,sigma,0,zidane.jpg,5,5,0.6545,0.9592,1.0,100.0
YOLO26-XL,Gaussiano,sigma,5,zidane.jpg,5,4,0.7659,0.9619,0.9598,80.0
YOLO26-XL,Gaussiano,sigma,10,zidane.jpg,5,4,0.861,0.9629,0.9553,80.0
YOLO26-XL,Gaussiano,sigma,20,zidane.jpg,5,4,0.7559,0.957,0.9583,80.0
YOLO26-XL,Gaussiano,sigma,30,zidane.jpg,5,5,0.7098,0.9596,0.9365,100.0
YOLO26-XL,Gaussiano,sigma,50,zidane.jpg,5,5,0.6999,0.956,0.9467,100.0
YOLO26-XL,Gaussiano,sigma,70,zidane.jpg,5,5,0.6461,0.9514,0.9307,100.0
YOLO26-XL,Gaussiano,sigma,100,zidane.jpg,5,4,0.7207,0.9472,0.8804,80.0
YOLO26-XL,Motion Blur,kernel,1,bus.jpg,5,5,0.8233,0.9441,1.0,100.0
YOLO26-XL,Motion Blur,kernel,3,bus.jpg,5,5,0.8401,0.9423,0.9904,100.0
YOLO26-XL,Motion Blur,kernel,5,bus.jpg,5,5,0.8415,0.9383,0.9872,100.0
YOLO26-XL,Motion Blur,kernel,9,bus.jpg,5,4,0.8972,0.9313,0.9801,80.0
YOLO26-XL,Motion Blur,kernel,15,bus.jpg,5,4,0.8018,0.9248,0.9429,80.0
YOLO26-XL,Motion Blur,kernel,21,bus.jpg,5,3,0.8482,0.9157,0.9172,60.0
YOLO26-XL,Motion Blur,kernel,31,bus.jpg,5,3,0.8296,0.8707,0.8976,60.0
YOLO26-XL,Motion Blur,kernel,45,bus.jpg,5,3,0.7315,0.8149,0.8586,60.0
YOLO26-XL,Motion Blur,kernel,1,zidane.jpg,5,5,0.6545,0.9592,1.0,100.0
YOLO26-XL,Motion Blur,kernel,3,zidane.jpg,5,5,0.6521,0.9618,0.9759,100.0
YOLO26-XL,Motion Blur,kernel,5,zidane.jpg,5,4,0.7116,0.9543,0.9695,80.0
YOLO26-XL,Motion Blur,kernel,9,zidane.jpg,5,4,0.6983,0.9649,0.963,80.0
YOLO26-XL,Motion Blur,kernel,15,zidane.jpg,5,2,0.9469,0.954,0.9822,40.0
YOLO26-XL,Motion Blur,kernel,21,zidane.jpg,5,3,0.7446,0.9588,0.6698,60.0
YOLO26-XL,Motion Blur,kernel,31,zidane.jpg,5,2,0.9453,0.9629,0.9773,40.0
YOLO26-XL,Motion Blur,kernel,45,zidane.jpg,5,2,0.939,0.9581,0.9607,40.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.0,bus.jpg,5,5,0.8233,0.9441,1.0,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.01,bus.jpg,5,6,0.7229,0.9403,0.9779,120.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.03,bus.jpg,5,5,0.7783,0.9427,0.9614,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.05,bus.jpg,5,5,0.7339,0.9288,0.9741,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.1,bus.jpg,5,5,0.7109,0.9275,0.9288,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.15,bus.jpg,5,5,0.7077,0.8996,0.9586,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.25,bus.jpg,5,6,0.5933,0.9253,0.9361,120.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.4,bus.jpg,5,4,0.6876,0.9065,0.6694,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.0,zidane.jpg,5,5,0.6545,0.9592,1.0,100.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.01,zidane.jpg,5,4,0.7143,0.9599,0.9684,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.03,zidane.jpg,5,4,0.7824,0.9463,0.9499,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.05,zidane.jpg,5,4,0.7494,0.9478,0.9474,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.1,zidane.jpg,5,4,0.6418,0.9485,0.7522,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.15,zidane.jpg,5,4,0.6416,0.9464,0.8116,80.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.25,zidane.jpg,5,3,0.84,0.9362,0.9481,60.0
YOLO26-XL,Sal y Pimienta,probabilidad,0.4,zidane.jpg,5,4,0.5612,0.8998,0.6947,80.0
YOLO26-XL,Brillo,delta,-100,bus.jpg,5,5,0.7898,0.9268,0.9566,100.0
YOLO26-XL,Brillo,delta,-70,bus.jpg,5,5,0.805,0.9267,0.9635,100.0
YOLO26-XL,Brillo,delta,-50,bus.jpg,5,5,0.776,0.9297,0.9798,100.0
YOLO26-XL,Brillo,delta,-30,bus.jpg,5,4,0.8992,0.9423,0.99,80.0
YOLO26-XL,Brillo,delta,0,bus.jpg,5,5,0.8233,0.9441,1.0,100.0
YOLO26-XL,Brillo,delta,30,bus.jpg,5,5,0.8099,0.9441,0.9955,100.0
YOLO26-XL,Brillo,delta,50,bus.jpg,5,5,0.8155,0.9494,0.9932,100.0
YOLO26-XL,Brillo,delta,70,bus.jpg,5,5,0.8147,0.9501,0.9909,100.0
YOLO26-XL,Brillo,delta,100,bus.jpg,5,5,0.7709,0.9449,0.9894,100.0
YOLO26-XL,Brillo,delta,-100,zidane.jpg,5,4,0.6072,0.9513,0.8116,80.0
YOLO26-XL,Brillo,delta,-70,zidane.jpg,5,4,0.6431,0.9592,0.8513,80.0
YOLO26-XL,Brillo,delta,-50,zidane.jpg,5,3,0.8402,0.9608,0.8618,60.0
YOLO26-XL,Brillo,delta,-30,zidane.jpg,5,5,0.6789,0.947,0.7668,100.0
YOLO26-XL,Brillo,delta,0,zidane.jpg,5,5,0.6545,0.9592,1.0,100.0
YOLO26-XL,Brillo,delta,30,zidane.jpg,5,5,0.6275,0.9587,0.9906,100.0
YOLO26-XL,Brillo,delta,50,zidane.jpg,5,4,0.7228,0.9594,0.9754,80.0
YOLO26-XL,Brillo,delta,70,zidane.jpg,5,4,0.7192,0.9596,0.9673,80.0
YOLO26-XL,Brillo,delta,100,zidane.jpg,5,4,0.7452,0.96,0.9577,80.0
